id,screen_name,text_raw,like_counts,total_number,created_at
4.659E+15,木凡讲茶,看着这个提水上楼梯的背影着实有点心疼，自然而然不造作，拎起来就上楼梯，跟旁边的小哥哥一样，身体里的小宇宙[爱你][爱你][爱你] 每一个细节处的用盐，看着看着就想下厨做点好吃的啦！馋那个水煮牛肉和菊花牛肉丸[哈哈][哈哈] http://t.cn/A6fWQoKx,15,0,Wed Jul 14 23:24:17 +0800 2021
4.67442E+15,月半小菜-,姐该更新了,15,0,Thu Aug 26 12:13:04 +0800 2021
4.67121E+15,菠小萝Bang,我以为我很久没来可能会存了两个视频没看，结果是我想多了，一个视频也没有[允悲],15,1,Tue Aug 17 16:10:28 +0800 2021
4.94225E+15,时空栗子,任何时候不能亏了真心做事的人,15,0,Mon Sep 04 13:58:42 +0800 2023
4.68528E+15,有内大冰,好好休息一下吧，无论是什么原因给自己放个假吧。互联网上就是这样，无论你再努力再优秀，都还是有喷子。但是同样有一群人始终在支持着你。姐姐加油！！[爱你],14,0,Sat Sep 25 11:24:26 +0800 2021
4.76592E+15,L莫道不消魂,晚安[心],13,0,Thu May 05 23:56:49 +0800 2022
4.68862E+15,椰啵的小摩的,啥时候更新,13,0,Mon Oct 04 17:03:22 +0800 2021
4.65899E+15,-泡芙莓果記-,昨天天天向上去了自贡 今天子柒又发了贡井盐的视频 嘿 我昨儿还刚回来 我们自贡是要红了咩[doge],13,2,Wed Jul 14 22:24:36 +0800 2021
4.68001E+15,Dobur盼,求更新的时候别再说想我们了，太敷衍了，不配,13,1,Fri Sep 10 22:59:04 +0800 2021
4.65894E+15,我是唛哩,来啦[憧憬][憧憬],12,1,Wed Jul 14 19:15:32 +0800 2021
4.65894E+15,可乐喜欢小宋,好厉害！！！！,11,1,Wed Jul 14 19:13:31 +0800 2021
4.65894E+15,爱吃火锅的小梓耶,更新啦 我来啦[笑而不语],11,1,Wed Jul 14 19:15:04 +0800 2021
4.84724E+15,Sng_1987,刷第三遍,11,0,Fri Dec 16 09:40:43 +0800 2022
4.65894E+15,二叔柒柒柒,哇哇，利害了柒姐！盐这玩意必不可少[笑cry],11,0,Wed Jul 14 19:33:20 +0800 2021
4.79294E+15,吾与花孰美,一年了[泪],11,0,Tue Jul 19 13:23:41 +0800 2022
4.70707E+15,黎黎檬子,加油,11,0,Wed Nov 24 14:36:42 +0800 2021
4.65894E+15,sixty-four,期待姐姐的新系列嘻嘻,10,0,Wed Jul 14 19:24:05 +0800 2021
4.65894E+15,锦鱼浅戈亡,呜呜呜 http://t.cn/A6VtLm5f,10,1,Wed Jul 14 19:18:10 +0800 2021
4.684E+15,千千song,都是玩摆拍的“骗子”。江湖险恶，装模作样成文青的农村女孩，其实是团队包装的网红，空壳公司的大股东，变现很艰难。她“骗”了大家，背后的资本“骗”了她。,10,7,Tue Sep 21 22:49:41 +0800 2021
4.77115E+15,Jakecompanievv,马上一年了,10,0,Fri May 20 10:29:23 +0800 2022
4.79326E+15,春天如昔,日常等待复更中,10,0,Wed Jul 20 11:00:13 +0800 2022
4.67277E+15,-噢原来你也在这里,进来看了很多次了都还没更新，现在的更新太难等了，不像以前了,10,0,Sat Aug 21 22:58:38 +0800 2021
4.67038E+15,思小梦梦,等你更新太要时间了，难搞,10,0,Sun Aug 15 09:00:07 +0800 2021
4.85202E+15,出前一丁麻油,等王者归来,9,0,Thu Dec 29 14:31:35 +0800 2022
4.65894E+15,喜欢雨的兔子,心心念念的等你更博，终于来了来了！[心][微风],9,0,Wed Jul 14 19:22:27 +0800 2021
4.65894E+15,汇崽veggieg·,更新啦更新啦,9,1,Wed Jul 14 19:14:32 +0800 2021
4.67517E+15,meiko的小小小尾巴,虽然大家都很支持，但是也实在太久没更新了吧，这样算的话，一年不过10几条微博。。。根本不够看。。哎～,9,4,Sat Aug 28 13:59:09 +0800 2021
4.67441E+15,一只可爱的果子LH,呼呼,9,0,Thu Aug 26 11:49:33 +0800 2021
4.65897E+15,寻尘浅墨v,姐姐好美啊[好喜欢] http://t.cn/A6fWpxQe,9,1,Wed Jul 14 21:17:09 +0800 2021
4.659E+15,Ataraxia____,不知道为嘛我现在一看子柒的视频我就愣神走神，我知道很好看每次也很期待她更新，但一点开视频就开始走神[允悲],9,4,Wed Jul 14 22:58:09 +0800 2021
4.65914E+15,吉利橙0804,人间烟火气，最抚凡人心.,9,0,Thu Jul 15 08:32:42 +0800 2021
4.68275E+15,盼望未来的美好,心疼小姐姐,9,0,Sat Sep 18 12:08:13 +0800 2021
4.67712E+15,思小梦梦,完全变味了，这么久都不更新，唉……,9,3,Thu Sep 02 23:21:55 +0800 2021
4.67556E+15,幸福叫我华仔,还不更新啊？都多长时间了！,9,0,Sun Aug 29 16:10:46 +0800 2021
4.67896E+15,久居我梦里,什么时候更新能不能提前说一下   每次来看到没更都想脱粉,9,0,Wed Sep 08 01:18:38 +0800 2021
4.85133E+15,江枫对渔眠,看到你的工商信息变更啦，看掉一直没舍得看的盐，期待着新视频更新[挤眼],9,0,Tue Dec 27 16:32:16 +0800 2022
4.65895E+15,软小糖爱吃酸yo,你可以不用每次发视频，大可爱！！！可以日常发个微博呀[污][污][污],8,1,Wed Jul 14 19:53:56 +0800 2021
4.65894E+15,咻織符,来了，来了，她带着视频走来了[鼓掌][鼓掌][鼓掌],8,0,Wed Jul 14 19:13:43 +0800 2021
4.65896E+15,是爱次虾饺的小皇子,任何美味佳肴都离不开两块钱一包的盐[哈哈],8,0,Wed Jul 14 20:40:11 +0800 2021
4.65895E+15,张惜宝,第一次听摄影师哥哥说话呢,8,3,Wed Jul 14 19:47:46 +0800 2021
4.65895E+15,烤冷面为什么不叫烤热面,这个单杠自行车，我真的是小时候见过的了，姐姐，你去哪里淘来的宝贝！自己边骑边笑 http://t.cn/A6fWSPhh,8,7,Wed Jul 14 19:48:44 +0800 2021
4.65895E+15,柒家油菜花,翻了翻评论区[doge]该说的好像都说了，那我来撒泼打滚求抱抱？,8,1,Wed Jul 14 20:05:49 +0800 2021
4.65894E+15,肉夹馍要加青椒owo,我是1吗！！！,8,0,Wed Jul 14 19:13:03 +0800 2021
4.6827E+15,L莫道不消魂,好想你,8,0,Sat Sep 18 08:46:52 +0800 2021
4.67008E+15,L莫道不消魂,七夕快乐🌹,8,0,Sat Aug 14 12:49:00 +0800 2021
4.66735E+15,A就是很喜欢你呀,好久没来了！,8,0,Sat Aug 07 00:06:05 +0800 2021
4.69306E+15,L莫道不消魂,晚安🌙,8,0,Sat Oct 16 23:02:07 +0800 2021
4.65894E+15,温柔且风,神仙姐姐视频每一帧都好绝,7,1,Wed Jul 14 19:15:57 +0800 2021
4.76555E+15,L莫道不消魂,晚安[心],7,0,Wed May 04 23:53:16 +0800 2022
4.65895E+15,潘小仙呀,姐想死你了[抱一抱][抱一抱],7,0,Wed Jul 14 19:45:41 +0800 2021
4.65894E+15,番茄牛肉饭KiKi,宝照顾好身体[悲伤],7,1,Wed Jul 14 19:13:46 +0800 2021
4.90763E+15,L莫道不消魂,晚安[心],7,0,Thu Jun 01 01:06:46 +0800 2023
4.85204E+15,尼尼的汉堡肉呀Yu_,期待更新,7,0,Thu Dec 29 15:29:25 +0800 2022
4.65897E+15,初见何予之,什么时候有的曲水流觞的桌子！！！我天！！！,7,3,Wed Jul 14 21:02:23 +0800 2021
4.67621E+15,脆脆鲨Oo__,催更大队集合了！！,7,0,Tue Aug 31 11:02:48 +0800 2021
4.68382E+15,代玖斌,知道了您的事，说实话，非常难过，但是这个也是情理之中的事情，您当初和资本签订的合同，跟卖身契几乎没有区别，自己的品牌，自己拿多少完全看别人脸色和心情，这一点想起来都觉得恐怖！,7,1,Tue Sep 21 11:04:53 +0800 2021
4.79117E+15,he小小呆,一年了[允悲],7,0,Thu Jul 14 16:22:02 +0800 2022
4.68102E+15,墙上有小乔,姐姐 两个月了,7,0,Mon Sep 13 17:18:16 +0800 2021
4.68827E+15,时空极,咋不更新了呢,7,0,Sun Oct 03 17:59:34 +0800 2021
4.67273E+15,傲人的公主,子柒怎么还不更新啊，你怎么了,7,0,Sat Aug 21 20:45:17 +0800 2021
4.67528E+15,等他dengta,怎么说呢？柒姐这两年身上担的担子和责任越来越多，肯定会分身乏术，我也是看了两年的粉丝，视频内容很难制作都要亲力亲为，之前也催更过，但没有什么用，还是得等，希望未来能平衡好吧！而不是每次就是想我们两句意义不大的话！,7,0,Sat Aug 28 21:23:32 +0800 2021
4.67557E+15,Lucky--717,好久了,7,0,Sun Aug 29 16:21:01 +0800 2021
4.66493E+15,三角龙剑龙大王龙,送我送我 盐盐盐,7,0,Sat Jul 31 08:10:33 +0800 2021
4.65894E+15,陆衔羽,好久不见[掌宝爱心][掌宝爱心][掌宝爱心],6,1,Wed Jul 14 19:13:08 +0800 2021
5.02593E+15,高远逐梦天涯,打卡,6,0,Mon Apr 22 11:59:46 +0800 2024
