id,screen_name,text_raw,like_counts,total_number,created_at
5.10039E+15,盼一个晴天_白玫瑰,中华之美如画卷般展开！,1,0,Wed Nov 13 23:39:47 +0800 2024
5.10039E+15,Roger高,我的天 钢琴也这么棒 歌也唱得这么好 真不愧是李子柒哇,1,0,Wed Nov 13 23:33:17 +0800 2024
5.10038E+15,旎旎在,太优秀了[加油][加油][加油],1,0,Wed Nov 13 22:59:19 +0800 2024
5.10038E+15,LY__林月,欢迎回来[羞嗒嗒],1,0,Wed Nov 13 22:29:12 +0800 2024
5.10037E+15,哈哈哈银行行长,妈耶，看哭了要[泪][泪][泪],1,0,Wed Nov 13 21:54:58 +0800 2024
5.10037E+15,哈哈哈银行行长,太牛了姐姐[悲伤],1,0,Wed Nov 13 21:53:36 +0800 2024
5.10037E+15,lucky17DW,终于等到你[爱你][爱你][爱你],1,0,Wed Nov 13 21:40:47 +0800 2024
5.10036E+15,穿丝黑的齐老師,顶流！厉害[爱你][爱你][爱你],1,0,Wed Nov 13 21:31:30 +0800 2024
5.10035E+15,嘉睿幸福7733792579,看柒柒视频，穿越无忧！[心],1,0,Wed Nov 13 20:43:27 +0800 2024
5.10035E+15,千山万重不离不弃为了理想,真好[心][心][心],1,0,Wed Nov 13 20:29:56 +0800 2024
5.10035E+15,福州飞扬影像,归来还是王者[心],1,0,Wed Nov 13 20:29:50 +0800 2024
5.10034E+15,酷啊哦三岁半,姐姐终于等到你了,1,0,Wed Nov 13 20:07:57 +0800 2024
5.10033E+15,爱吃花卷的小lucky,终于等到你回来啦,1,0,Wed Nov 13 19:30:57 +0800 2024
5.10033E+15,月亮遇见宇航员5,想你，回来就好[泪][爱你],1,0,Wed Nov 13 19:27:09 +0800 2024
5.10033E+15,猫蝶嬉世不欺世,李子柒，你就是最美好的女子[心],1,0,Wed Nov 13 19:14:42 +0800 2024
5.10033E+15,漓漓的鱼,好喜欢这首歌，好喜欢柒柒[送花花][抱一抱][抱一抱][抱一抱][抱一抱],1,0,Wed Nov 13 19:09:31 +0800 2024
5.10032E+15,游戏晚晚,一切如愿[泪][泪][泪][泪][泪],1,0,Wed Nov 13 18:54:56 +0800 2024
5.10032E+15,夏天的风和你呀,三更了  好幸福,1,0,Wed Nov 13 18:45:16 +0800 2024
5.10032E+15,想要一株忘忧草,欢迎回来，愿我们都能绽放绚烂，称心如愿[爱你],1,0,Wed Nov 13 18:29:19 +0800 2024
5.10032E+15,天辰的湫楸啾在夏至叻,哇呜呜呜呜呜呜呜呜呜，钢琴曲好好哭[悲伤],1,0,Wed Nov 13 18:22:18 +0800 2024
